32.75,33.15,32.8,32.05,32.23,33.1,30.88,
34.45,34.25,33.3,32.36,32.25,33.5,31.29,
33.2,32.85,32.4,31.9,32.1,33.0,30.6,
28.0,29.25,29.55,29.34,29.46,30.64,28.44,
30.0,30.9,30.81,30.39,30.1,31.05,28.92,
32.13,32.65,32.2,31.5,31.25,31.92,29.75,
34.8,34.45,33.45,32.6,32.45,32.82,30.5,
34.2,33.9,32.9,32.2,32.1,32.71,30.5,
35.75,35.05,33.85,33.1,32.7,33.39,31.2,
38.0,36.55,34.7,33.97,33.3,33.9,31.45,
34.9,33.87,32.59,31.6,31.25,32.1,29.72,
31.6,31.45,30.9,30.4,29.87,30.63,28.47,
34.1,33.86,32.8,31.76,31.05,31.6,29.15,
34.0,33.52,32.65,31.55,30.5,31.55,29.55,
36.55,35.35,34.0,32.6,31.9,32.55,30.32,
39.8,37.9,35.75,34.05,33.16,33.78,31.7,
39.5,37.4,35.5,33.8,33.1,33.74,31.6,
41.4,38.55,36.16,34.35,33.55,34.01,31.9,
39.0,36.05,34.3,32.87,32.3,33.12,31.29,
34.9,33.56,32.23,31.22,30.88,31.47,29.78,
35.1,33.05,32.17,31.03,30.2,31.05,29.35,
36.6,34.6,33.05,31.65,31.0,31.69,29.97,
33.22,32.1,31.0,29.91,29.33,29.89,28.41,
36.2,34.05,32.2,30.9,30.11,30.3,28.35,
36.75,34.4,32.21,30.93,30.46,30.55,28.8,
38.35,36.1,33.5,31.95,31.19,30.92,29.29,
39.6,36.7,34.02,32.49,31.65,31.52,29.74,
38.2,36.15,33.66,31.93,30.5,30.33,28.9,
40.7,37.6,34.5,32.45,31.1,31.0,29.91,
42.35,38.75,35.65,33.49,31.7,31.25,30.3,
43.9,39.65,36.2,34.0,32.15,31.49,30.5,
41.48,37.6,34.15,32.0,30.4,30.15,28.55,
42.72,38.23,34.27,31.45,30.1,30.0,28.64,
46.45,39.61,35.46,32.7,31.29,31.4,29.85,
39.65,35.59,32.41,30.02,28.8,29.2,28.35,
44.2,39.45,35.05,31.71,30.8,30.75,29.6,
39.95,35.33,30.3,27.35,26.53,26.75,25.27,
43.35,39.4,33.57,29.35,27.79,29.03,28.0,
57.85,52.35,44.45,38.1,34.4,34.25,34.35,
58.85,51.3,43.99,37.93,34.05,34.2,32.1,
60.0,50.75,44.16,37.5,34.59,33.94,34.3,
48.4,41.8,36.75,32.9,31.65,31.4,30.15,
44.85,38.99,34.55,32.0,30.82,30.4,28.0,
34.5,32.0,29.6,28.3,27.85,27.9,26.45,
38.15,33.85,31.41,29.9,28.85,28.65,27.0,
32.2,29.25,27.85,26.73,25.77,26.59,26.7,
29.6,27.3,26.04,25.22,24.77,25.7,23.9,
30.95,28.45,27.15,26.31,25.81,26.58,24.4,
27.62,26.55,24.3,24.39,23.4,26.5,24.85,
24.68,23.2,22.27,21.85,21.6,23.45,22.17,
22.4,21.4,20.62,20.4,20.4,22.32,20.47,
22.85,21.6,20.75,20.52,20.6,22.9,20.33,
21.3,20.35,19.75,19.6,19.74,22.63,20.38,
21.4,20.7,20.05,19.85,20.08,22.85,20.8,
22.0,21.15,20.45,19.92,20.0,22.9,20.57,
19.85,19.5,19.3,19.15,19.29,22.28,20.0,
19.45,19.15,19.0,18.9,19.02,21.85,19.45,
18.45,18.4,18.4,18.35,18.5,21.15,18.8,
17.5,17.6,17.6,17.7,17.8,20.75,18.81,
16.85,17.17,17.4,17.41,17.65,20.2,18.05,
16.45,16.87,17.1,17.14,17.35,19.9,18.07,
16.65,17.02,17.2,17.26,17.44,19.86,17.95,
16.1,16.52,16.85,16.95,17.15,19.7,17.95,
16.45,16.85,17.1,17.1,17.3,19.7,17.84,
16.3,16.73,16.95,17.0,17.2,19.59,18.0,
16.56,16.95,17.12,17.15,17.35,19.7,18.05,
16.55,16.9,17.1,17.13,17.37,19.65,17.85,
16.7,17.0,17.25,17.36,17.55,19.9,18.0,
16.35,16.72,17.0,17.1,17.35,19.8,17.87,
16.45,16.8,17.05,17.1,17.3,19.75,17.85,
16.7,16.98,17.15,17.2,17.4,19.85,17.9,
17.3,17.6,17.75,17.77,17.85,20.0,18.1,
17.6,17.9,17.99,18.0,18.1,20.1,18.2,
16.75,17.07,17.3,17.4,17.6,19.8,18.1,
17.05,17.32,17.55,17.62,17.97,20.0,18.2,
16.9,17.22,17.45,17.61,17.71,19.9,18.02,
17.25,17.63,17.82,17.9,17.95,20.05,18.25,
16.9,17.25,17.45,17.55,17.9,20.0,18.22,
16.48,16.85,17.1,17.2,17.5,19.7,17.84,
16.55,16.89,17.15,17.37,17.7,19.95,17.88,
16.25,16.68,16.97,17.15,17.45,20.0,17.7,
16.31,16.75,17.0,17.15,17.43,19.83,17.8,
16.2,16.63,16.95,17.1,17.5,19.9,18.0,
